id_usuario,fecha_registro,país,dispositivo,tipo_plan
user_107,2025-05-07,Mexico,desktop,free
user_108,2025-01-24,Colombia,mobile,free
user_109,2025-01-13,Colombia,mobile,free
user_110,2025-01-29,Mexico,desktop,free
user_111,2025-02-09,Colombia,mobile,free
user_112,2025-02-10,Mexico,desktop,free
user_113,2025-04-19,Mexico,desktop,free
user_114,2025-01-17,Argentina,desktop,paid
user_115,2025-04-09,Colombia,mobile,free
user_116,2025-04-08,Argentina,desktop,paid
user_117,2025-04-30,Colombia,desktop,free
user_118,2025-05-16,Argentina,desktop,free
user_119,2025-03-06,Colombia,desktop,free
user_120,2025-05-22,Mexico,mobile,free
user_121,2025-01-03,Argentina,mobile,free
user_122,2025-01-30,Colombia,mobile,free
user_123,2025-05-18,Mexico,desktop,free
user_124,2025-03-10,Mexico,desktop,free
user_125,2025-03-29,Mexico,desktop,paid
user_126,2025-01-29,Colombia,desktop,free
user_127,2025-03-17,Argentina,desktop,paid
user_128,2025-04-22,Argentina,mobile,free
user_129,2025-02-10,Mexico,desktop,free
user_130,2025-04-27,Mexico,desktop,free
user_131,2025-01-01,Colombia,mobile,free
user_132,2025-03-09,Colombia,mobile,free
user_133,2025-05-09,Mexico,mobile,free
user_134,2025-02-15,Mexico,mobile,paid
user_135,2025-05-10,Mexico,desktop,free
user_136,2025-01-28,Argentina,mobile,free
user_137,2025-03-18,Mexico,desktop,free
user_138,2025-05-10,Colombia,mobile,free
user_139,2025-02-20,Argentina,mobile,paid
user_140,2025-02-09,Argentina,desktop,free
user_141,2025-04-06,Mexico,desktop,free
user_142,2025-02-11,Mexico,desktop,paid
user_143,2025-05-19,Colombia,desktop,free
user_144,2025-05-16,Colombia,desktop,free
user_145,2025-01-01,Mexico,desktop,free
user_146,2025-03-24,Mexico,desktop,paid
user_147,2025-05-06,Argentina,mobile,free
user_148,2025-01-05,Argentina,mobile,free
user_149,2025-01-29,Argentina,mobile,free
user_150,2025-04-03,Mexico,desktop,free
user_151,2025-03-20,Argentina,mobile,free
user_152,2025-03-03,Colombia,desktop,free
user_153,2025-01-15,Colombia,desktop,free
user_154,2025-03-03,Argentina,desktop,free
user_155,2025-05-26,Colombia,mobile,free
user_156,2025-01-21,Colombia,desktop,free
user_157,2025-01-22,Colombia,desktop,free
user_158,2025-05-05,Colombia,mobile,free
user_159,2025-01-18,Mexico,desktop,free
user_160,2025-05-17,Argentina,desktop,free
user_161,2025-02-02,Argentina,desktop,free
user_162,2025-02-02,Colombia,mobile,free
user_163,2025-05-02,Mexico,mobile,free
user_164,2025-05-21,Mexico,desktop,free
user_165,2025-02-12,Mexico,desktop,free
user_166,2025-03-09,Mexico,mobile,paid
user_167,2025-05-16,Colombia,desktop,free
user_168,2025-04-19,Colombia,mobile,free
user_169,2025-02-24,Colombia,desktop,free
user_170,2025-05-19,Colombia,desktop,free
user_171,2025-02-21,Argentina,mobile,free
user_172,2025-03-21,Colombia,mobile,free
user_173,2025-04-13,Argentina,mobile,free
user_174,2025-04-06,Mexico,mobile,free
user_175,2025-04-23,Colombia,mobile,paid
user_176,2025-05-13,Argentina,mobile,paid
user_177,2025-04-26,Colombia,mobile,free
user_178,2025-01-31,Argentina,desktop,paid
user_179,2025-03-05,Mexico,mobile,free
user_180,2025-02-27,Mexico,mobile,paid
user_181,2025-01-17,Mexico,mobile,free
user_182,2025-03-28,Mexico,desktop,free
user_183,2025-01-06,Argentina,mobile,free
user_184,2025-05-31,Mexico,mobile,free
user_185,2025-05-22,Mexico,mobile,paid
user_186,2025-02-28,Argentina,desktop,paid
user_187,2025-05-31,Colombia,mobile,free
user_188,2025-02-26,Mexico,mobile,free
user_189,2025-01-02,Argentina,mobile,free
user_190,2025-01-19,Argentina,desktop,paid
user_191,2025-01-16,Mexico,mobile,paid
user_192,2025-02-28,Argentina,desktop,free
user_193,2025-01-18,Mexico,mobile,free
user_194,2025-01-09,Argentina,mobile,paid
user_195,2025-03-26,Mexico,desktop,free
user_196,2025-01-19,Mexico,mobile,paid
user_197,2025-05-12,Colombia,mobile,paid
user_198,2025-03-02,Mexico,desktop,free
user_199,2025-03-13,Colombia,mobile,paid
user_200,2025-05-05,Colombia,mobile,free
user_201,2025-02-24,Mexico,mobile,free
user_202,2025-05-19,Mexico,mobile,paid
user_203,2025-02-03,Mexico,desktop,paid
user_204,2025-05-27,Argentina,mobile,free
user_205,2025-05-28,Colombia,mobile,paid
user_206,2025-05-02,Colombia,mobile,free
user_207,2025-03-04,Argentina,mobile,free
user_208,2025-05-02,Colombia,desktop,free
user_209,2025-04-15,Mexico,mobile,free
user_210,2025-02-18,Mexico,mobile,free
user_211,2025-01-25,Colombia,mobile,free
user_212,2025-01-25,Mexico,mobile,free
user_213,2025-04-21,Colombia,mobile,paid
user_214,2025-04-01,Mexico,desktop,paid
user_215,2025-04-19,Argentina,mobile,free
user_216,2025-04-16,Mexico,mobile,free
user_217,2025-04-30,Argentina,mobile,paid
user_218,2025-01-14,Colombia,mobile,paid
user_219,2025-01-26,Colombia,mobile,free
user_220,2025-01-16,Mexico,desktop,free
user_221,2025-04-14,Argentina,mobile,free
user_222,2025-03-28,Colombia,desktop,paid
user_223,2025-01-28,Colombia,desktop,free
user_224,2025-03-05,Mexico,desktop,free
user_225,2025-02-19,Colombia,desktop,free
user_226,2025-02-18,Colombia,desktop,free
user_227,2025-05-18,Mexico,desktop,free
user_228,2025-04-25,Colombia,mobile,paid
user_229,2025-02-05,Mexico,mobile,free
user_230,2025-04-19,Mexico,mobile,paid
user_231,2025-02-16,Mexico,desktop,paid
user_232,2025-03-13,Mexico,mobile,paid
user_233,2025-04-29,Colombia,desktop,paid
user_234,2025-03-05,Argentina,mobile,paid
user_235,2025-01-20,Mexico,desktop,free
user_236,2025-04-24,Argentina,mobile,paid
user_237,2025-05-21,Colombia,mobile,free
user_238,2025-01-26,Argentina,mobile,free
user_239,2025-01-13,Mexico,desktop,free
user_240,2025-05-19,Argentina,mobile,free
user_241,2025-01-04,Argentina,desktop,free
user_242,2025-01-24,Mexico,mobile,free
user_243,2025-03-02,Argentina,mobile,free
user_244,2025-02-12,Mexico,mobile,free
user_245,2025-04-15,Argentina,mobile,paid
user_246,2025-05-05,Mexico,desktop,free
user_247,2025-05-04,Mexico,mobile,free
user_248,2025-02-24,Mexico,mobile,free
user_249,2025-04-13,Colombia,desktop,paid
user_250,2025-01-16,Argentina,desktop,free
user_251,2025-02-12,Colombia,desktop,free
user_252,2025-04-08,Colombia,desktop,paid
user_253,2025-01-01,Mexico,desktop,paid
user_254,2025-04-10,Mexico,mobile,paid
user_255,2025-03-09,Argentina,mobile,free
user_256,2025-04-27,Mexico,desktop,paid
user_257,2025-03-15,Argentina,mobile,free
user_258,2025-04-19,Colombia,desktop,free
user_259,2025-05-23,Colombia,desktop,free
user_260,2025-05-05,Argentina,mobile,free
user_261,2025-02-09,Mexico,desktop,free
user_262,2025-02-18,Argentina,desktop,free
user_263,2025-03-17,Colombia,mobile,free
user_264,2025-02-25,Mexico,desktop,free
user_265,2025-01-15,Mexico,desktop,free
user_266,2025-05-29,Mexico,desktop,paid
user_267,2025-05-19,Colombia,mobile,free
user_268,2025-01-16,Argentina,desktop,free
user_269,2025-03-22,Argentina,mobile,free
user_270,2025-01-15,Argentina,mobile,free
user_271,2025-01-13,Mexico,mobile,free
user_272,2025-05-30,Argentina,mobile,paid
user_273,2025-05-03,Mexico,desktop,paid
user_274,2025-05-09,Mexico,mobile,free
user_275,2025-05-16,Colombia,mobile,free
user_276,2025-02-10,Colombia,mobile,free
user_277,2025-01-15,Colombia,desktop,free
user_278,2025-05-11,Colombia,desktop,free
user_279,2025-01-21,Mexico,desktop,free
user_280,2025-02-17,Mexico,desktop,paid
user_281,2025-01-18,Colombia,mobile,free
user_282,2025-01-18,Mexico,mobile,paid
user_283,2025-03-02,Mexico,desktop,free
user_284,2025-04-14,Mexico,desktop,free
user_285,2025-01-31,Argentina,desktop,free
user_286,2025-05-26,Colombia,desktop,free
user_287,2025-03-05,Colombia,mobile,free
user_288,2025-05-29,Argentina,desktop,free
user_289,2025-01-11,Argentina,mobile,free
user_290,2025-01-21,Argentina,mobile,paid
user_291,2025-04-18,Colombia,desktop,free
user_292,2025-05-30,Argentina,mobile,free
user_293,2025-05-25,Argentina,mobile,free
user_294,2025-05-14,Argentina,mobile,free
user_295,2025-03-22,Colombia,desktop,paid
user_296,2025-03-08,Mexico,mobile,free
user_297,2025-02-22,Mexico,desktop,free
user_298,2025-03-22,Mexico,mobile,free
user_299,2025-03-03,Argentina,desktop,free
user_300,2025-03-09,Mexico,desktop,free
user_301,2025-04-12,Mexico,mobile,free
user_302,2025-02-03,Colombia,desktop,free
user_303,2025-03-18,Argentina,mobile,free
user_304,2025-04-28,Mexico,mobile,free
user_305,2025-03-22,Mexico,desktop,free
user_306,2025-01-19,Colombia,mobile,free
user_307,2025-01-03,Colombia,mobile,free
user_308,2025-04-28,Mexico,mobile,free
user_309,2025-05-25,Argentina,desktop,free
user_310,2025-01-26,Argentina,desktop,free
user_311,2025-01-19,Argentina,desktop,free
user_312,2025-05-18,Colombia,mobile,free
user_313,2025-02-24,Colombia,mobile,free
user_314,2025-05-10,Colombia,mobile,paid
user_315,2025-03-09,Colombia,mobile,free
user_316,2025-02-03,Mexico,desktop,paid
user_317,2025-03-31,Argentina,desktop,paid
user_318,2025-01-18,Mexico,desktop,free
user_319,2025-03-04,Colombia,desktop,free
user_320,2025-04-05,Mexico,desktop,free
user_321,2025-03-14,Mexico,mobile,free
user_322,2025-02-10,Colombia,desktop,free
user_323,2025-04-23,Mexico,mobile,free
user_324,2025-05-20,Colombia,mobile,free
user_325,2025-03-19,Mexico,mobile,free
user_326,2025-05-16,Mexico,mobile,free
user_327,2025-01-03,Colombia,mobile,free
user_328,2025-05-22,Argentina,mobile,paid
user_329,2025-03-18,Colombia,desktop,paid
user_330,2025-01-27,Argentina,mobile,paid
user_331,2025-02-04,Argentina,mobile,free
user_332,2025-03-09,Colombia,desktop,paid
user_333,2025-01-30,Argentina,mobile,paid
user_334,2025-01-28,Colombia,mobile,paid
user_335,2025-05-22,Mexico,mobile,free
user_336,2025-02-09,Colombia,desktop,free
user_337,2025-03-11,Mexico,desktop,free
user_338,2025-03-14,Argentina,desktop,free
user_339,2025-02-23,Argentina,mobile,free
user_340,2025-03-29,Argentina,mobile,free
user_341,2025-02-22,Mexico,mobile,free
user_342,2025-03-09,Argentina,desktop,paid
user_343,2025-05-10,Argentina,mobile,free
user_344,2025-05-06,Colombia,mobile,free
user_345,2025-03-06,Colombia,desktop,free
user_346,2025-01-14,Argentina,mobile,free
user_347,2025-01-24,Colombia,mobile,free
user_348,2025-04-19,Mexico,desktop,free
user_349,2025-03-12,Mexico,mobile,paid
user_350,2025-01-12,Mexico,desktop,paid
user_351,2025-01-01,Colombia,desktop,free
user_352,2025-03-27,Colombia,mobile,free
user_353,2025-02-03,Mexico,mobile,free
user_354,2025-03-09,Mexico,desktop,free
user_355,2025-02-11,Argentina,mobile,free
user_356,2025-04-24,Mexico,mobile,free
user_357,2025-05-22,Mexico,desktop,free
user_358,2025-04-20,Argentina,mobile,free
user_359,2025-05-24,Colombia,mobile,free
user_360,2025-01-03,Argentina,desktop,free
user_361,2025-01-29,Colombia,desktop,paid
user_362,2025-01-20,Argentina,desktop,free
user_363,2025-02-08,Colombia,mobile,paid
user_364,2025-05-20,Colombia,mobile,free
user_365,2025-01-10,Argentina,desktop,free
user_366,2025-04-05,Mexico,desktop,free
user_367,2025-05-30,Argentina,desktop,free
user_368,2025-05-22,Argentina,desktop,paid
user_369,2025-02-07,Argentina,mobile,free
user_370,2025-04-21,Mexico,desktop,free
user_371,2025-02-02,Mexico,desktop,paid
user_372,2025-01-11,Colombia,desktop,free
user_373,2025-03-20,Argentina,mobile,free
user_374,2025-04-04,Colombia,mobile,free
user_375,2025-01-11,Argentina,mobile,free
user_376,2025-04-02,Mexico,mobile,free
user_377,2025-02-23,Mexico,mobile,free
user_378,2025-03-05,Argentina,mobile,free
user_379,2025-01-27,Colombia,mobile,free
user_380,2025-04-01,Argentina,desktop,paid
user_381,2025-05-24,Argentina,mobile,free
user_382,2025-04-15,Argentina,desktop,free
user_383,2025-02-09,Colombia,desktop,paid
user_384,2025-03-02,Colombia,mobile,free
user_385,2025-02-11,Mexico,mobile,paid
user_386,2025-02-15,Colombia,desktop,free
user_387,2025-04-16,Mexico,mobile,free
user_388,2025-01-07,Mexico,mobile,free
user_389,2025-02-15,Colombia,desktop,free
user_390,2025-03-27,Mexico,mobile,free
user_391,2025-04-16,Mexico,desktop,free
user_392,2025-03-05,Argentina,desktop,free
user_393,2025-03-10,Colombia,mobile,paid
user_394,2025-02-10,Mexico,desktop,free
user_395,2025-01-28,Argentina,desktop,paid
user_396,2025-04-08,Argentina,mobile,free
user_397,2025-01-10,Colombia,desktop,free
user_398,2025-05-01,Colombia,desktop,free
user_399,2025-02-26,Mexico,desktop,paid
user_400,2025-02-21,Argentina,mobile,paid
user_401,2025-04-28,Colombia,mobile,free
user_402,2025-03-31,Mexico,mobile,free
user_403,2025-03-20,Colombia,mobile,paid
user_404,2025-02-28,Mexico,mobile,free
user_405,2025-02-27,Argentina,mobile,free
user_406,2025-01-07,Colombia,mobile,free
user_407,2025-02-19,Argentina,mobile,paid
user_408,2025-04-13,Argentina,desktop,free
user_409,2025-03-26,Colombia,desktop,free
user_410,2025-03-13,Argentina,desktop,paid
user_411,2025-01-18,Mexico,desktop,free
user_412,2025-03-13,Argentina,mobile,free
user_413,2025-03-31,Argentina,desktop,paid
user_414,2025-05-11,Argentina,mobile,free
user_415,2025-04-13,Mexico,mobile,free
user_416,2025-05-18,Colombia,desktop,free
user_417,2025-03-26,Mexico,desktop,paid
user_418,2025-01-08,Argentina,desktop,free
user_419,2025-01-30,Argentina,desktop,free
user_420,2025-03-08,Mexico,desktop,paid
user_421,2025-02-15,Mexico,desktop,paid
user_422,2025-05-29,Argentina,desktop,paid
user_423,2025-03-09,Mexico,desktop,paid
user_424,2025-01-10,Argentina,desktop,free
user_425,2025-01-28,Mexico,desktop,free
user_426,2025-04-22,Colombia,mobile,free
user_427,2025-03-30,Mexico,mobile,free
user_428,2025-03-22,Colombia,desktop,free
user_429,2025-04-22,Colombia,desktop,paid
user_430,2025-05-11,Colombia,mobile,paid
user_431,2025-01-30,Colombia,desktop,free
user_432,2025-04-09,Colombia,desktop,free
user_433,2025-05-28,Colombia,mobile,free
user_434,2025-02-18,Colombia,desktop,free
user_435,2025-03-07,Mexico,desktop,free
user_436,2025-01-12,Argentina,mobile,free
user_437,2025-04-22,Argentina,desktop,free
user_438,2025-01-01,Mexico,mobile,free
user_439,2025-05-14,Colombia,mobile,free
user_440,2025-05-18,Mexico,desktop,paid
user_441,2025-02-20,Colombia,desktop,paid
user_442,2025-04-04,Colombia,mobile,free
user_443,2025-04-21,Mexico,desktop,free
user_444,2025-01-18,Mexico,mobile,paid
user_445,2025-03-26,Argentina,desktop,paid
user_446,2025-03-22,Argentina,mobile,paid
user_447,2025-02-01,Colombia,desktop,free
user_448,2025-03-18,Colombia,desktop,free
user_449,2025-05-10,Mexico,desktop,free
user_450,2025-03-21,Argentina,mobile,free
user_451,2025-04-15,Mexico,desktop,paid
user_452,2025-03-25,Argentina,desktop,paid
user_453,2025-04-14,Colombia,mobile,free
user_454,2025-03-17,Mexico,mobile,free
user_455,2025-05-22,Argentina,desktop,free
user_456,2025-02-02,Argentina,mobile,free
user_457,2025-02-19,Mexico,desktop,paid
user_458,2025-04-18,Colombia,desktop,free
user_459,2025-04-08,Argentina,mobile,free
user_460,2025-02-14,Argentina,mobile,free
user_461,2025-05-26,Colombia,mobile,free
user_462,2025-03-19,Argentina,desktop,free
user_463,2025-04-14,Argentina,desktop,free
user_464,2025-05-21,Mexico,mobile,free
user_465,2025-01-01,Colombia,desktop,free
user_466,2025-03-19,Mexico,desktop,free
user_467,2025-03-15,Colombia,mobile,free
user_468,2025-02-23,Argentina,desktop,paid
user_469,2025-04-21,Argentina,mobile,free
user_470,2025-05-29,Mexico,desktop,free
user_471,2025-03-24,Colombia,mobile,paid
user_472,2025-04-30,Mexico,mobile,free
user_473,2025-04-24,Colombia,mobile,paid
user_474,2025-04-24,Colombia,mobile,paid
user_475,2025-02-24,Argentina,mobile,paid
user_476,2025-05-11,Colombia,mobile,free
user_477,2025-05-02,Argentina,desktop,free
user_478,2025-02-13,Mexico,desktop,free
user_479,2025-01-22,Argentina,desktop,paid
user_480,2025-03-14,Argentina,desktop,free
user_481,2025-05-12,Mexico,desktop,free
user_482,2025-03-27,Mexico,mobile,paid
user_483,2025-01-24,Mexico,desktop,free
user_484,2025-03-02,Colombia,mobile,paid
user_485,2025-03-21,Colombia,desktop,free
user_486,2025-02-27,Mexico,mobile,free
user_487,2025-02-20,Argentina,mobile,free
user_488,2025-02-07,Mexico,desktop,paid
user_489,2025-01-07,Colombia,mobile,free
user_490,2025-01-12,Argentina,mobile,free
user_491,2025-03-04,Mexico,mobile,paid
user_492,2025-05-02,Mexico,mobile,free
user_493,2025-01-19,Argentina,mobile,free
user_494,2025-04-27,Colombia,desktop,free
user_495,2025-04-17,Colombia,mobile,free
user_496,2025-05-28,Mexico,mobile,free
user_497,2025-02-19,Mexico,mobile,paid
user_498,2025-04-09,Argentina,desktop,free
user_499,2025-05-07,Mexico,mobile,paid
user_500,2025-04-13,Argentina,desktop,free
user_501,2025-03-04,Argentina,desktop,paid
user_502,2025-02-07,Mexico,mobile,free
user_503,2025-01-02,Argentina,desktop,paid
user_504,2025-01-28,Argentina,desktop,paid
user_505,2025-04-19,Mexico,desktop,free
user_506,2025-02-26,Colombia,mobile,free
user_507,2025-02-15,Mexico,desktop,free
user_508,2025-05-13,Colombia,mobile,paid
user_509,2025-04-29,Argentina,mobile,free
user_510,2025-01-13,Argentina,desktop,paid
user_511,2025-05-23,Mexico,mobile,paid
user_512,2025-03-05,Colombia,desktop,free
user_513,2025-02-01,Argentina,desktop,free
user_514,2025-04-27,Mexico,desktop,free
user_515,2025-02-04,Mexico,mobile,free
user_516,2025-04-29,Mexico,desktop,paid
user_517,2025-05-16,Argentina,mobile,free
user_518,2025-05-24,Mexico,mobile,free
user_519,2025-03-23,Colombia,mobile,paid
user_520,2025-04-24,Mexico,mobile,free
user_521,2025-05-10,Colombia,desktop,free
user_522,2025-04-20,Colombia,desktop,free
user_523,2025-05-21,Colombia,desktop,free
user_524,2025-04-25,Mexico,desktop,free
user_525,2025-02-10,Mexico,desktop,free
user_526,2025-05-02,Colombia,mobile,free
user_527,2025-04-26,Argentina,desktop,paid
user_528,2025-03-08,Argentina,mobile,free
user_529,2025-03-05,Colombia,desktop,free
user_530,2025-03-12,Mexico,mobile,paid
user_531,2025-05-14,Mexico,mobile,paid
user_532,2025-05-05,Mexico,mobile,paid
user_533,2025-03-03,Argentina,mobile,free
user_534,2025-03-12,Argentina,mobile,paid
user_535,2025-04-23,Colombia,mobile,paid
user_536,2025-01-20,Argentina,desktop,free
user_537,2025-03-15,Argentina,mobile,free
user_538,2025-03-02,Argentina,desktop,free
user_539,2025-03-11,Colombia,mobile,paid
user_540,2025-03-27,Argentina,desktop,free
user_541,2025-03-23,Colombia,mobile,free
user_542,2025-05-19,Mexico,desktop,paid
user_543,2025-01-21,Mexico,mobile,free
user_544,2025-02-05,Argentina,desktop,free
user_545,2025-02-08,Mexico,desktop,free
user_546,2025-03-01,Argentina,desktop,paid
user_547,2025-04-09,Colombia,desktop,paid
user_548,2025-02-09,Colombia,desktop,free
user_549,2025-02-24,Mexico,desktop,free
user_550,2025-01-17,Colombia,desktop,free
user_551,2025-04-17,Colombia,desktop,free
user_552,2025-04-15,Colombia,desktop,free
user_553,2025-03-26,Mexico,desktop,paid
user_554,2025-05-19,Argentina,desktop,free
user_555,2025-04-30,Argentina,mobile,paid
user_556,2025-04-17,Colombia,mobile,free
user_557,2025-01-16,Argentina,mobile,free
user_558,2025-02-22,Colombia,desktop,free
user_559,2025-04-18,Mexico,desktop,free
user_560,2025-04-10,Mexico,mobile,free
user_561,2025-05-30,Argentina,mobile,free
user_562,2025-01-06,Colombia,mobile,free
user_563,2025-05-28,Colombia,mobile,free
user_564,2025-04-08,Mexico,desktop,free
user_565,2025-05-03,Mexico,mobile,free
user_566,2025-01-02,Mexico,mobile,paid
user_567,2025-04-01,Argentina,mobile,paid
user_568,2025-03-18,Argentina,mobile,free
user_569,2025-04-10,Colombia,mobile,free
user_570,2025-04-18,Argentina,desktop,free
user_571,2025-05-18,Colombia,mobile,paid
user_572,2025-05-20,Argentina,desktop,free
user_573,2025-02-26,Mexico,mobile,free
user_574,2025-05-05,Argentina,mobile,free
user_575,2025-02-26,Argentina,mobile,paid
user_576,2025-03-11,Mexico,desktop,paid
user_577,2025-04-22,Argentina,desktop,paid
user_578,2025-05-05,Mexico,desktop,paid
user_579,2025-01-08,Mexico,desktop,free
user_580,2025-04-10,Mexico,desktop,free
user_581,2025-03-28,Argentina,desktop,free
user_582,2025-04-14,Mexico,desktop,free
user_583,2025-02-12,Argentina,desktop,paid
user_584,2025-04-30,Mexico,desktop,free
user_585,2025-02-02,Colombia,desktop,free
user_586,2025-05-17,Colombia,desktop,paid
user_587,2025-01-07,Mexico,mobile,free
user_588,2025-04-11,Mexico,desktop,paid
user_589,2025-05-25,Argentina,desktop,free
user_590,2025-01-07,Mexico,desktop,free
user_591,2025-01-22,Colombia,desktop,free
user_592,2025-04-20,Mexico,desktop,free
user_593,2025-02-04,Colombia,desktop,paid
user_594,2025-04-29,Mexico,mobile,free
user_595,2025-02-16,Colombia,mobile,paid
user_596,2025-01-13,Colombia,desktop,paid
user_597,2025-03-08,Colombia,mobile,free
user_598,2025-04-08,Colombia,desktop,free
user_599,2025-03-25,Colombia,mobile,paid
user_600,2025-02-24,Argentina,mobile,free
user_601,2025-04-27,Colombia,mobile,free
user_602,2025-03-25,Argentina,mobile,paid
user_603,2025-03-28,Colombia,desktop,free
user_604,2025-04-08,Colombia,desktop,paid
user_605,2025-03-13,Colombia,mobile,paid
user_606,2025-04-18,Argentina,mobile,paid
user_607,2025-03-06,Colombia,desktop,paid
user_608,2025-01-21,Argentina,mobile,paid
user_609,2025-05-01,Colombia,desktop,free
user_610,2025-01-05,Colombia,desktop,free
user_611,2025-05-19,Mexico,mobile,free
user_612,2025-01-14,Colombia,mobile,paid
user_613,2025-03-31,Mexico,desktop,paid
user_614,2025-02-27,Mexico,mobile,paid
user_615,2025-01-18,Colombia,desktop,free
user_616,2025-01-11,Colombia,mobile,free
user_617,2025-01-08,Mexico,mobile,paid
user_618,2025-03-05,Colombia,mobile,free
user_619,2025-02-21,Mexico,desktop,free
user_620,2025-01-06,Mexico,mobile,free
user_621,2025-02-09,Colombia,mobile,free
user_622,2025-03-03,Mexico,desktop,free
user_623,2025-02-02,Colombia,desktop,free
user_624,2025-05-02,Colombia,mobile,free
user_625,2025-01-30,Mexico,desktop,free
