id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total,es_devolucion,costo_unitario,cogs,gross_profit,gross_margin_pct
Order_125,User_5263,2025-05-30,Unknown,Mobile,Organic,Tablet-Standard-64Gb,Electronica,1.0,133.13,0.0,133.13,False,25.21,25.21,107.91999999999999,81.06
Order_126,User_4952,2025-04-19,Unknown,Desktop,Paid_Search,Phone-Pro-128Gb,Electronica,2.0,177.23,0.0,354.45,False,10.12,20.24,334.21,94.29
Order_127,User_2619,2025-06-26,Unknown,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,329.53,10.0,319.53,False,25.21,25.21,294.32,92.11
Order_128,User_2444,2025-05-06,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,2.0,218.43,0.0,436.86,False,16.6,33.2,403.66,92.4
Order_129,User_7157,2025-04-17,Unknown,Desktop,Paid_Search,Sneakers-Urban-42,Moda,1.0,367.88,10.0,357.88,False,17.21,17.21,340.67,95.19
Order_130,User_3279,2025-02-06,Unknown,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,114.83,0.0,114.83,False,16.6,16.6,98.22999999999999,85.54
Order_131,User_2914,2025-05-05,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,117.84,10.0,107.84,False,176.64,176.64,-68.79999999999998,-63.8
Order_132,User_2173,2025-02-03,Unknown,Desktop,Organic,Tablet-Standard-64Gb,Electronica,1.0,383.84,0.0,383.84,False,25.21,25.21,358.63,93.43
Order_133,User_4038,2025-05-12,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,2.0,345.85,0.0,691.69,False,16.6,33.2,658.49,95.2
Order_134,User_3987,2025-01-31,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,1.0,313.25,10.0,303.25,False,176.64,176.64,126.61000000000001,41.75
Order_135,User_7789,2025-04-27,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,1.0,465.32,0.0,465.32,False,16.6,16.6,448.71999999999997,96.43
Order_136,User_6937,2025-02-10,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,2.0,211.05,15.0,407.09,False,176.64,353.28,53.81,13.22
Order_137,User_5299,2025-04-05,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,1.0,379.06,0.0,379.06,False,16.6,16.6,362.46,95.62
Order_138,User_525,2025-01-31,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,1.0,162.37,15.0,147.37,False,16.6,16.6,130.77,88.74
Order_139,User_967,2025-04-15,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,449.32,0.0,449.32,False,176.64,176.64,272.68,60.69
Order_140,User_2308,2025-04-05,Unknown,Desktop,Social,Jacket-Winter-M,Moda,1.0,107.28,0.0,107.28,False,189.31,189.31,-82.03,-76.46
Order_141,User_5234,2025-01-11,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,2.0,400.21,0.0,800.43,False,176.64,353.28,447.15,55.86
Order_142,User_4453,2025-01-31,Unknown,Desktop,Social,Jacket-Winter-M,Moda,2.0,425.61,0.0,851.21,False,189.31,378.62,472.59000000000003,55.52
Order_143,User_6655,2025-04-06,Unknown,Mobile,Organic,Sneakers-Urban-42,Moda,2.0,477.23,15.0,939.46,False,17.21,34.42,905.0400000000001,96.34
Order_144,User_5041,2025-05-05,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,2.0,177.04,10.0,344.08,False,176.64,353.28,-9.199999999999989,-2.67
Order_145,User_5001,2025-02-06,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,1.0,286.93,5.0,281.93,False,176.64,176.64,105.29000000000002,37.35
Order_146,User_6983,2025-05-31,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,1.0,401.15,5.0,396.15,False,176.64,176.64,219.51,55.41
Order_147,User_6602,2025-03-20,Unknown,Mobile,Organic,Jacket-Winter-M,Moda,2.0,340.58,0.0,681.16,False,189.31,378.62,302.53999999999996,44.42
Order_148,User_3543,2025-02-25,Unknown,Desktop,Social,Tablet-Standard-64Gb,Electronica,1.0,414.64,0.0,414.64,False,25.21,25.21,389.43,93.92
Order_149,User_6151,2025-05-06,Unknown,Desktop,Organic,Tablet-Standard-64Gb,Electronica,1.0,58.8,0.0,58.8,False,25.21,25.21,33.589999999999996,57.13
Order_150,User_5524,2025-05-21,Unknown,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,131.89,10.0,121.89,False,25.21,25.21,96.68,79.32
Order_151,User_2376,2025-01-12,Unknown,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,1.0,369.86,10.0,359.86,False,280.68,280.68,79.18,22.0
Order_152,User_6776,2025-05-27,Unknown,Mobile,Organic,Vacuum-Pro-Black,Hogar,2.0,101.69,15.0,188.37,False,16.6,33.2,155.17000000000002,82.38
Order_153,User_4363,2025-04-26,Unknown,Desktop,Social,Jacket-Winter-M,Moda,2.0,462.45,15.0,909.89,False,189.31,378.62,531.27,58.39
Order_154,User_3842,2025-04-07,Unknown,Desktop,Social,Vacuum-Pro-Black,Hogar,2.0,173.48,0.0,346.96,False,16.6,33.2,313.76,90.43
Order_155,User_2167,2025-06-05,Unknown,Mobile,Organic,Sneakers-Urban-42,Moda,1.0,450.43,5.0,445.43,False,17.21,17.21,428.22,96.14
Order_156,User_386,2025-02-05,Unknown,Desktop,Organic,Sneakers-Urban-42,Moda,2.0,149.1,5.0,293.2,False,17.21,34.42,258.78,88.26
Order_157,User_4730,2025-04-28,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,2.0,73.87,15.0,132.75,False,16.6,33.2,99.55,74.99
Order_158,User_3271,2025-06-20,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,1.0,391.24,0.0,391.24,False,176.64,176.64,214.60000000000002,54.85
Order_159,User_6535,2025-03-25,Unknown,Desktop,Social,Tablet-Standard-64Gb,Electronica,2.0,481.61,0.0,963.22,False,25.21,50.42,912.8000000000001,94.77
Order_160,User_6067,2025-06-09,Unknown,Desktop,Social,Sneakers-Urban-42,Moda,2.0,89.24,10.0,168.48,False,17.21,34.42,134.06,79.57
Order_161,User_6287,2025-04-15,Unknown,Mobile,Paid_Search,Phone-Pro-128Gb,Electronica,1.0,319.38,0.0,319.38,False,10.12,10.12,309.26,96.83
Order_162,User_4209,2025-04-12,Unknown,Mobile,Social,Vacuum-Pro-Black,Hogar,1.0,27.7,15.0,12.7,False,16.6,16.6,-3.900000000000002,-30.71
Order_163,User_7532,2025-01-12,Unknown,Mobile,Organic,Sneakers-Urban-42,Moda,1.0,312.64,0.0,312.64,False,17.21,17.21,295.43,94.5
Order_164,User_4202,2025-04-24,Unknown,Mobile,Organic,Tablet-Standard-64Gb,Electronica,1.0,416.02,0.0,416.02,False,25.21,25.21,390.81,93.94
Order_165,User_1958,2025-06-15,Unknown,Desktop,Social,Sneakers-Urban-42,Moda,2.0,130.98,5.0,256.95,False,17.21,34.42,222.52999999999997,86.6
Order_166,User_3856,2025-02-12,Unknown,Desktop,Paid_Search,Sneakers-Urban-42,Moda,1.0,50.31,10.0,40.31,False,17.21,17.21,23.1,57.31
Order_167,User_2658,2025-05-27,Unknown,Mobile,Paid_Search,Phone-Pro-128Gb,Electronica,1.0,41.61,0.0,41.61,False,10.12,10.12,31.490000000000002,75.68
Order_168,User_26,2025-03-21,Unknown,Desktop,Paid_Search,Phone-Pro-128Gb,Electronica,1.0,451.71,5.0,446.71,False,10.12,10.12,436.59,97.73
Order_169,User_7215,2025-02-01,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,1.0,205.42,0.0,205.42,False,176.64,176.64,28.78,14.01
Order_170,User_4780,2025-01-22,Unknown,Desktop,Social,Phone-Pro-128Gb,Electronica,2.0,405.07,0.0,810.14,False,10.12,20.24,789.9,97.5
Order_171,User_3243,2025-06-08,Unknown,Desktop,Paid_Search,Blender-Xl-Red,Hogar,2.0,155.61,10.0,301.23,False,176.64,353.28,-52.049999999999955,-17.28
Order_172,User_1918,2025-01-14,Unknown,Desktop,Organic,Laptop-Gaming-16Gb,Electronica,1.0,490.44,10.0,480.44,False,280.68,280.68,199.76,41.58
Order_173,User_3776,2025-05-14,Unknown,Desktop,Paid_Search,Jacket-Winter-M,Moda,2.0,319.58,0.0,639.16,False,189.31,378.62,260.53999999999996,40.76
Order_174,User_7885,2025-05-02,Unknown,Mobile,Organic,Vacuum-Pro-Black,Hogar,2.0,46.38,0.0,92.76,False,16.6,33.2,59.56,64.21
Order_175,User_5432,2025-01-05,Unknown,Mobile,Social,Jacket-Winter-M,Moda,1.0,433.59,0.0,433.59,False,189.31,189.31,244.27999999999997,56.34
Order_176,User_3422,2025-05-17,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,2.0,70.64,5.0,136.27,False,176.64,353.28,-217.00999999999996,-159.25
Order_177,User_1962,2025-01-05,Unknown,Mobile,Social,Jacket-Winter-M,Moda,2.0,407.16,10.0,804.33,False,189.31,378.62,425.71000000000004,52.93
Order_178,User_3935,2025-02-22,Unknown,Mobile,Social,Blender-Xl-Red,Hogar,1.0,394.02,0.0,394.02,False,176.64,176.64,217.38,55.17
Order_179,User_4944,2025-06-30,Unknown,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,2.0,299.32,0.0,598.65,False,25.21,50.42,548.23,91.58
Order_180,User_203,2025-05-29,Unknown,Desktop,Paid_Search,Sneakers-Urban-42,Moda,2.0,451.16,15.0,887.31,False,17.21,34.42,852.89,96.12
Order_181,User_1032,2025-05-17,Unknown,Mobile,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,331.62,0.0,331.62,False,25.21,25.21,306.41,92.4
Order_182,User_3264,2025-04-13,Unknown,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,2.0,118.91,0.0,237.81,False,280.68,561.36,-323.55,-136.05
Order_183,User_1610,2025-05-06,Unknown,Desktop,Organic,Sneakers-Urban-42,Moda,2.0,124.23,10.0,238.46,False,17.21,34.42,204.04000000000002,85.57
Order_184,User_7528,2025-01-06,Unknown,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,2.0,118.27,0.0,236.54,False,280.68,561.36,-324.82000000000005,-137.32
Order_185,User_5790,2025-02-16,Unknown,Desktop,Paid_Search,Jacket-Winter-M,Moda,2.0,41.08,0.0,82.16,False,189.31,378.62,-296.46000000000004,-360.83
Order_186,User_6360,2025-05-16,Unknown,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,319.34,0.0,319.34,False,16.6,16.6,302.73999999999995,94.8
Order_187,User_2335,2025-03-07,Unknown,Desktop,Paid_Search,Laptop-Gaming-16Gb,Electronica,1.0,300.46,10.0,290.46,False,280.68,280.68,9.779999999999973,3.37
Order_188,User_7144,2025-01-26,Unknown,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,384.46,15.0,369.46,False,16.6,16.6,352.85999999999996,95.51
Order_189,User_722,2025-03-15,Unknown,Mobile,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,405.64,5.0,400.64,False,16.6,16.6,384.03999999999996,95.86
Order_190,User_5830,2025-03-07,Unknown,Desktop,Paid_Search,Tablet-Standard-64Gb,Electronica,1.0,426.76,5.0,421.76,False,25.21,25.21,396.55,94.02
Order_191,User_1894,2025-02-09,Unknown,Mobile,Social,Blender-Xl-Red,Hogar,2.0,407.49,0.0,814.97,False,176.64,353.28,461.69000000000005,56.65
Order_192,User_3638,2025-04-15,Unknown,Desktop,Paid_Search,Sneakers-Urban-42,Moda,2.0,428.74,0.0,857.48,False,17.21,34.42,823.0600000000001,95.99
Order_193,User_3847,2025-01-16,Unknown,Mobile,Social,Blender-Xl-Red,Hogar,1.0,91.89,5.0,86.89,False,176.64,176.64,-89.74999999999999,-103.29
Order_194,User_4978,2025-03-25,Unknown,Desktop,Social,Blender-Xl-Red,Hogar,2.0,227.89,15.0,440.77,False,176.64,353.28,87.49000000000001,19.85
Order_195,User_3364,2025-01-15,Unknown,Desktop,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,32.28,15.0,17.28,False,16.6,16.6,0.6799999999999997,3.94
Order_196,User_1162,2025-01-26,Unknown,Mobile,Paid_Search,Jacket-Winter-M,Moda,1.0,370.92,5.0,365.92,False,189.31,189.31,176.61,48.26
Order_197,User_305,2025-04-16,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,1.0,473.27,0.0,473.27,False,176.64,176.64,296.63,62.68
Order_198,User_557,2025-03-08,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,2.0,308.81,5.0,612.62,False,176.64,353.28,259.34000000000003,42.33
Order_199,User_4352,2025-01-31,Unknown,Desktop,Social,Sneakers-Urban-42,Moda,1.0,161.11,5.0,156.11,False,17.21,17.21,138.9,88.98
Order_200,User_6085,2025-03-03,Unknown,Mobile,Paid_Search,Vacuum-Pro-Black,Hogar,1.0,75.6,0.0,75.6,False,16.6,16.6,58.99999999999999,78.04
Order_201,User_2480,2025-05-31,Unknown,Mobile,Social,Tablet-Standard-64Gb,Electronica,2.0,388.91,0.0,777.82,False,25.21,50.42,727.4000000000001,93.52
Order_202,User_4118,2025-05-11,Unknown,Mobile,Social,Laptop-Gaming-16Gb,Electronica,1.0,477.39,0.0,477.39,False,280.68,280.68,196.70999999999998,41.21
Order_203,User_6043,2025-04-09,Unknown,Desktop,Social,Laptop-Gaming-16Gb,Electronica,2.0,69.57,0.0,139.14,False,280.68,561.36,-422.22,-303.45
Order_204,User_6058,2025-03-10,Unknown,Desktop,Organic,Phone-Pro-128Gb,Electronica,2.0,411.23,10.0,812.45,False,10.12,20.24,792.21,97.51
Order_205,User_2941,2025-04-29,Unknown,Desktop,Organic,Laptop-Gaming-16Gb,Electronica,2.0,31.01,0.0,62.03,False,280.68,561.36,-499.33000000000004,-804.98
Order_206,User_113,2025-01-17,Unknown,Desktop,Organic,Blender-Xl-Red,Hogar,1.0,271.73,5.0,266.73,False,176.64,176.64,90.09000000000003,33.78
Order_207,User_3565,2025-04-15,Unknown,Desktop,Organic,Sneakers-Urban-42,Moda,2.0,264.86,0.0,529.73,False,17.21,34.42,495.31,93.5
Order_208,User_7353,2025-01-05,Unknown,Mobile,Organic,Vacuum-Pro-Black,Hogar,2.0,258.83,10.0,507.65,False,16.6,33.2,474.45,93.46
Order_209,User_5107,2025-05-31,Unknown,Mobile,Paid_Search,Laptop-Gaming-16Gb,Electronica,2.0,112.42,5.0,219.85,False,280.68,561.36,-341.51,-155.34
Order_210,User_1338,2025-03-05,Unknown,Mobile,Social,Sneakers-Urban-42,Moda,1.0,72.24,5.0,67.24,False,17.21,17.21,50.029999999999994,74.41
Order_211,User_7774,2025-06-16,Unknown,Mobile,Social,Phone-Pro-128Gb,Electronica,2.0,356.39,0.0,712.78,False,10.12,20.24,692.54,97.16
Order_212,User_7893,2025-03-19,Unknown,Mobile,Paid_Search,Vacuum-Pro-Black,Hogar,2.0,376.6,10.0,743.2,False,16.6,33.2,710.0,95.53
Order_213,User_4105,2025-04-25,Unknown,Desktop,Paid_Search,Phone-Pro-128Gb,Electronica,1.0,373.18,10.0,363.18,False,10.12,10.12,353.06,97.21
Order_214,User_1200,2025-06-12,Unknown,Mobile,Organic,Vacuum-Pro-Black,Hogar,2.0,197.44,0.0,394.87,False,16.6,33.2,361.67,91.59
Order_215,User_1463,2025-02-06,Unknown,Mobile,Organic,Blender-Xl-Red,Hogar,1.0,105.68,0.0,105.68,False,176.64,176.64,-70.95999999999998,-67.15
Order_216,User_3529,2025-02-13,Unknown,Mobile,Paid_Search,Blender-Xl-Red,Hogar,2.0,315.65,0.0,631.3,False,176.64,353.28,278.02,44.04
Order_217,User_1738,2025-05-18,Unknown,Desktop,Social,Blender-Xl-Red,Hogar,2.0,250.32,5.0,495.64,False,176.64,353.28,142.36,28.72
Order_218,User_1010,2025-05-23,Unknown,Mobile,Organic,Vacuum-Pro-Black,Hogar,2.0,208.1,0.0,416.21,False,16.6,33.2,383.01,92.02
